OTUID,KO_ID,Domain,Phylum,Class,Order,Family,Genus,Species
CDS_135,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_136,<NA>,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Geofilum,Geofilum_rubicundum
CDS_137,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_syringae_group
CDS_139,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_141,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,<NA>
CDS_142,K01869,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._BL107,<NA>
CDS_144,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_149,K02337,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._BL107,<NA>
CDS_153,<NA>,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium_cellulosum
CDS_155,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa_group
CDS_156,<NA>,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Cesiribacter_andamanensis
CDS_157,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_158,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_160,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Owenweeksia_hongkongensis
CDS_161,K11784,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_162,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_hibernum
CDS_163,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_164,K09181,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_166,<NA>,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._CC9605,<NA>
CDS_167,K04083,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._CC9605,<NA>
CDS_168,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,Psychroserpens_jangbogonensis
CDS_169,K02342,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_182,K02406,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas_macleodii
CDS_185,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter_marinus
CDS_187,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_johnsoniae
CDS_198,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_201,K00128,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._CC9605,<NA>
CDS_205,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Owenweeksia_hongkongensis
CDS_207,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_210,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_213,K07304,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_217,<NA>,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._CC9605,<NA>
CDS_219,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Haliscomenobacter_hydrossis
CDS_227,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia_donghaensis
CDS_235,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_240,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_242,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas_macleodii
CDS_243,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_246,<NA>,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,Roseivirga_echinicomitans
CDS_252,<NA>,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,Flammeovirga_pacifica
CDS_254,<NA>,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum_gryphiswaldense
CDS_255,<NA>,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_extorquens_group
CDS_261,<NA>,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus_Pelagibacter,Candidatus_Pelagibacter_sp._IMCC9063
CDS_263,K00831,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_276,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Haliscomenobacter_hydrossis
CDS_280,<NA>,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._BL107,<NA>
CDS_283,<NA>,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,Flammeovirga_pacifica
CDS_286,K14448,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,Thalassospira_xiamenensis
CDS_290,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_293,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter_subterrani
CDS_297,<NA>,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._CC9605,<NA>
CDS_302,K02004,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma_panaciterrae
CDS_307,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_daejeonense
CDS_308,<NA>,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group
CDS_312,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_313,K03313,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_314,K09970,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus_aminophilus
CDS_317,<NA>,Bacteria,Cyanobacteria,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya_confervoides,<NA>
CDS_320,K03798,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_amnii
CDS_324,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_328,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_332,<NA>,Bacteria,Cyanobacteria,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea_producens,<NA>
CDS_334,K03118,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._CC9605,<NA>
CDS_338,K01658,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_angstadtii
CDS_343,<NA>,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter_sphaeroides
CDS_351,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_357,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_aquaticum
CDS_359,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Haliscomenobacter_hydrossis
CDS_361,K02946,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_daltonii
CDS_362,K07265,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._BL107,<NA>
CDS_363,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_365,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_akiainvivens
CDS_371,<NA>,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,Plesiocystis_pacifica
CDS_372,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Aureispira,Aureispira_sp._CCB-QB1
CDS_376,K04047,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_fluorescens_group
CDS_387,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_389,K00031,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria_mobilis
CDS_395,<NA>,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera_brasiliensis
CDS_398,K01208,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Saccharicrinis,Saccharicrinis_fermentans
CDS_399,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Haliscomenobacter_hydrossis
CDS_401,K01937,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera,Leisingera_aquaemixtae
CDS_404,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_407,<NA>,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,Dyadobacter_alkalitolerans
CDS_408,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_416,K01958,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera_brasiliensis
CDS_417,K00376,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_419,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina_latercula
CDS_423,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_428,K01956,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_439,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter_lipolyticus
CDS_440,K01214,Bacteria,Cyanobacteria,Chroococcales,Microcystaceae,Microcystis,Microcystis_aeruginosa,<NA>
CDS_448,K02919,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus_aminophilus
CDS_450,<NA>,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Pseudooceanicola_atlanticus
CDS_453,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_455,K00057,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_457,K01955,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera_brasiliensis
CDS_459,K02945,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
CDS_460,<NA>,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,Runella_limosa
CDS_468,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_470,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_471,K00239,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_472,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas_macleodii
CDS_473,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas_macleodii
CDS_474,K00677,Bacteria,Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus_sp._CC9605,<NA>
CDS_480,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_482,K01451,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium_chlorophenolicum
CDS_486,<NA>,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gillisia,Gillisia_limnaea
CDS_487,K03086,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,Thalassospira_lucentensis
CDS_489,K01560,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
CDS_495,<NA>,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira_halophila
CDS_502,<NA>,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia_pickettii
CDS_504,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
CDS_505,K01647,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium_baderi
CDS_509,<NA>,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera_brasiliensis
CDS_510,<NA>,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Phaeodactylibacter_xiamenensis
