CDS_ID	length_bps
CDS_979	252
CDS_980	261
CDS_982	318
CDS_983	255
CDS_987	249
CDS_995	201
CDS_1003	363
CDS_1004	285
CDS_1005	282
CDS_1007	237
CDS_1010	195
CDS_1011	270
CDS_1012	207
CDS_1013	177
CDS_1014	336
CDS_1016	249
CDS_1022	381
CDS_1025	177
CDS_1027	246
CDS_1032	354
CDS_1034	366
CDS_1039	201
CDS_1041	141
CDS_1042	312
CDS_1043	315
CDS_1046	174
CDS_1047	219
CDS_1053	300
CDS_1054	267
CDS_1060	444
CDS_1065	345
CDS_1066	543
CDS_1072	267
CDS_1075	264
CDS_1082	258
CDS_1084	228
CDS_1086	732
CDS_1093	756
CDS_1095	396
CDS_1097	456
CDS_1098	222
CDS_1099	558
CDS_1101	381
CDS_1102	582
CDS_1103	480
CDS_1106	309
CDS_1107	288
CDS_1108	501
CDS_1110	438
CDS_1112	369
CDS_1113	153
CDS_1115	186
CDS_1118	234
CDS_1120	333
CDS_1122	297
CDS_1123	252
CDS_1125	642
CDS_1126	552
CDS_1128	123
CDS_1132	600
CDS_1139	228
CDS_1141	693
CDS_1142	273
CDS_1143	261
CDS_1144	579
CDS_1145	759
CDS_1146	519
CDS_1148	312
CDS_1153	225
CDS_1160	219
CDS_1162	255
CDS_1163	465
CDS_1166	297
CDS_1167	231
CDS_1170	222
CDS_1171	498
CDS_1174	243
CDS_1175	213
CDS_1188	954
CDS_1189	996
CDS_1191	201
CDS_1193	489
CDS_1199	216
CDS_1200	210
CDS_1202	438
CDS_1203	222
CDS_1204	210
CDS_1205	363
CDS_1206	447
CDS_1208	252
CDS_1210	849
CDS_1212	441
CDS_1215	282
CDS_1220	276
CDS_1221	483
CDS_1224	240
CDS_1225	501
CDS_1226	234
CDS_1232	321
CDS_1235	384
CDS_1236	390
CDS_1241	276
CDS_1244	252
CDS_1245	204
CDS_1248	213
CDS_1252	588
CDS_1253	282
CDS_1254	192
CDS_1257	252
CDS_1258	279
CDS_1261	501
CDS_1263	267
CDS_1264	216
CDS_1266	249
CDS_1269	267
CDS_1275	273
CDS_1276	411
CDS_1280	330
CDS_1281	306
CDS_1283	366
CDS_1289	225
CDS_1290	858
CDS_1291	204
CDS_1293	447
CDS_1294	165
CDS_1296	417
CDS_1297	258
CDS_1299	348
CDS_1301	348
CDS_1304	423
CDS_1305	450
CDS_1307	228
CDS_1309	504
CDS_1311	375
CDS_1312	243
CDS_1313	282
CDS_1314	291
CDS_1315	717
CDS_1317	420
CDS_1318	408
CDS_1319	414
CDS_1320	213
CDS_1321	609
CDS_1322	360
CDS_1324	360
CDS_1327	201
CDS_1331	294
CDS_1334	327
CDS_1337	285
CDS_1343	825
CDS_1348	1596
CDS_1351	348
CDS_1355	297
CDS_1360	414
CDS_1362	246
CDS_1366	504
CDS_1369	588
CDS_1370	288
CDS_1372	204
CDS_1373	420
CDS_1378	282
CDS_1379	630
CDS_1384	231
CDS_1387	363
CDS_1388	273
CDS_1393	438
CDS_1396	327
CDS_1405	348
CDS_1406	378
CDS_1410	759
CDS_1426	207
CDS_1429	549
CDS_1432	498
CDS_1434	723
CDS_1435	741
CDS_1446	348
CDS_1451	489
CDS_1452	300
CDS_1462	270
CDS_1465	744
CDS_1472	378
CDS_1476	219
CDS_1479	498
CDS_1480	315
CDS_1483	213
CDS_1484	309
CDS_1497	303
CDS_1501	270
CDS_1505	201
CDS_1506	291
CDS_1507	492
CDS_1520	246
CDS_1521	468
CDS_1539	618
CDS_1540	2268
CDS_1542	261
CDS_1543	321
CDS_1548	330
CDS_1549	444
CDS_1550	297
CDS_1554	237
CDS_1556	414
CDS_1557	243
CDS_1559	246
CDS_1561	453
CDS_1564	681
CDS_1567	366
CDS_1572	234
CDS_1574	186
CDS_1575	336
CDS_1576	363
CDS_1577	468
CDS_1579	225
CDS_1582	363
CDS_1584	228
CDS_1590	342
CDS_1591	300
CDS_1592	240
CDS_1596	285
CDS_1599	354
CDS_1600	198
CDS_1603	204
CDS_1613	213
CDS_1614	243
CDS_1619	210
CDS_1622	240
CDS_1627	294
CDS_1631	375
CDS_1638	231
CDS_1641	312
CDS_1642	252
CDS_1649	267
CDS_1650	132
CDS_1651	180
CDS_1654	408
CDS_1655	375
CDS_1658	597
CDS_1659	435
CDS_1660	432
CDS_1661	270
CDS_1665	264
CDS_1666	342
CDS_1669	228
CDS_1674	336
CDS_1675	288
CDS_1677	159
CDS_1678	180
CDS_1679	234
CDS_1681	852
CDS_1682	228
CDS_1684	252
CDS_1685	324
CDS_1688	255
CDS_1689	162
CDS_1690	375
CDS_1692	351
CDS_1694	234
CDS_1695	324
CDS_1696	114
CDS_1697	201
CDS_1704	174
CDS_1706	585
CDS_1707	117
CDS_1709	156
CDS_1711	360
CDS_1714	258
CDS_1715	393
CDS_1720	327
CDS_1723	456
CDS_1724	333
CDS_1730	252
CDS_1732	201
CDS_1735	243
CDS_1737	243
CDS_1739	222
CDS_1741	150
CDS_1743	357
CDS_1744	639
CDS_1745	471
CDS_1753	279
CDS_1755	234
CDS_1759	231
CDS_1762	204
CDS_1767	204
CDS_1768	351
CDS_1772	174
CDS_1774	285
CDS_1775	123
CDS_1778	216
CDS_1780	369
CDS_1781	333
CDS_1784	207
CDS_1787	261
CDS_1788	294
CDS_1789	219
CDS_1794	426
CDS_1796	318
CDS_1797	351
CDS_1799	324
CDS_1801	156
CDS_1802	204
CDS_1805	216
CDS_1806	288
CDS_1809	339
CDS_1810	201
CDS_1811	201
CDS_1827	72
CDS_1830	315
CDS_1832	210
CDS_1835	102
CDS_1836	183
CDS_1839	378
CDS_1841	387
CDS_1844	219
CDS_1846	381
CDS_1847	165
CDS_1848	288
CDS_1850	279
CDS_1854	279
CDS_1856	597
CDS_1861	324
CDS_1862	852
CDS_1868	933
CDS_1869	573
CDS_1871	252
CDS_1873	279
CDS_1874	201
CDS_1875	381
CDS_1876	336
CDS_1881	306
CDS_1885	234
CDS_1888	261
CDS_1890	384
CDS_1891	720
CDS_1894	255
CDS_1899	234
CDS_1901	177
CDS_1903	384
CDS_1909	351
CDS_1911	132
CDS_1914	966
CDS_1921	558
CDS_1922	405
CDS_1928	198
CDS_1929	183
CDS_1935	276
CDS_1938	336
CDS_1940	144
CDS_1941	354
CDS_1942	210
CDS_1944	363
CDS_1945	195
CDS_1946	240
CDS_1952	204
CDS_1953	552
CDS_1954	318
CDS_1958	267
CDS_1960	297
CDS_1961	234
CDS_1962	258
CDS_1963	255
CDS_1968	747
CDS_1969	291
CDS_1972	279
CDS_1975	420
CDS_1978	183
CDS_1979	483
CDS_1981	363
CDS_1982	297
CDS_1984	801
CDS_1986	165
CDS_1987	465
CDS_1989	129
CDS_1991	444
CDS_1996	258
CDS_1997	516
CDS_2001	414
CDS_2006	303
CDS_2012	621
CDS_2018	318
CDS_2019	429
CDS_2025	240
CDS_2026	525
CDS_2028	222
CDS_2029	252
CDS_2030	222
CDS_2033	288
CDS_2034	273
CDS_2035	243
CDS_2037	357
CDS_2038	177
CDS_2039	225
CDS_2040	315
CDS_2045	234
CDS_2048	606
CDS_2060	270
CDS_2063	252
CDS_2065	285
CDS_2070	288
CDS_2072	243
CDS_2078	471
CDS_2079	339
CDS_2082	297
CDS_2088	279
CDS_2093	207
CDS_2097	258
CDS_2098	261
CDS_2099	222
CDS_2101	255
CDS_2107	258
CDS_2116	120
CDS_2117	1050
CDS_2118	441
CDS_2122	471
CDS_2124	1038
CDS_2125	1611
CDS_2126	282
CDS_2129	906
CDS_2130	819
CDS_2131	1110
CDS_2132	1098
CDS_2134	1512
CDS_2135	585
CDS_2138	570
CDS_2139	1434
CDS_2140	1938
CDS_2141	243
CDS_2142	228
CDS_2143	750
CDS_2146	315
CDS_2147	315
CDS_2152	750
CDS_2154	708
CDS_2155	1404
CDS_2156	723
CDS_2163	243
CDS_2164	837
CDS_2165	270
CDS_2166	429
CDS_2167	156
CDS_2176	219
CDS_2177	450
CDS_2178	654
CDS_2182	234
CDS_2185	1506
CDS_2186	582
CDS_2187	1170
CDS_2188	165
CDS_2189	219
CDS_2192	219
CDS_2193	717
CDS_2194	639
CDS_2199	621
CDS_2207	150
CDS_2214	510
CDS_2220	336
CDS_2221	645
CDS_2222	762
CDS_2223	552
CDS_2224	579
CDS_2231	969
CDS_2232	618
CDS_2233	450
CDS_2234	597
CDS_2236	294
CDS_2237	711
CDS_2240	120
CDS_2243	789
CDS_2245	291
CDS_2246	1386
CDS_2249	285
CDS_2250	534
CDS_2259	393
CDS_2260	1596
CDS_2261	183
CDS_2262	126
CDS_2263	309
CDS_2264	1053
CDS_2270	423
CDS_2271	258
CDS_2272	261
CDS_2273	378
CDS_2276	1344
CDS_2277	438
CDS_2278	195
CDS_2279	492
CDS_2282	1089
CDS_2283	342
CDS_2285	282
CDS_2286	882
CDS_2287	339
CDS_2293	390
CDS_2301	420
CDS_2302	792
CDS_2308	273
CDS_2309	381
CDS_2312	429
CDS_2313	915
CDS_2314	885
CDS_2317	267
CDS_2318	219
CDS_2323	243
CDS_2325	471
CDS_2326	564
CDS_2329	81
CDS_2330	420
CDS_2331	672
CDS_2340	144
CDS_2342	258
CDS_2344	387
CDS_2345	132
CDS_2347	363
CDS_2348	1089
CDS_2349	372
CDS_2350	156
CDS_2352	423
CDS_2353	675
CDS_2354	792
CDS_2356	309
CDS_2357	552
CDS_2359	213
CDS_2360	675
CDS_2362	264
CDS_2364	189
CDS_2365	672
CDS_2366	78
CDS_2370	294
CDS_2372	684
CDS_2373	444
CDS_2375	213
CDS_2378	144
CDS_2379	303
CDS_2380	234
CDS_2381	624
CDS_2383	1620
CDS_2388	639
CDS_2389	240
CDS_2391	762
CDS_2392	234
CDS_2393	210
CDS_2394	408
CDS_2396	504
CDS_2398	372
CDS_2400	96
CDS_2402	222
CDS_2410	702
CDS_2412	876
CDS_2413	225
CDS_2414	357
CDS_2415	390
CDS_2418	381
CDS_2419	426
CDS_2423	243
CDS_2425	231
CDS_2426	393
CDS_2427	378
CDS_2428	444
CDS_2429	336
CDS_2431	675
CDS_2432	249
CDS_2435	372
CDS_2438	336
CDS_2440	660
CDS_2443	411
CDS_2446	306
CDS_2447	348
CDS_2452	402
CDS_2454	267
CDS_2457	249
CDS_2461	237
CDS_2471	684
CDS_2480	621
CDS_2483	252
CDS_2484	510
CDS_2485	966
CDS_2487	348
CDS_2488	465
CDS_2489	396
CDS_2491	498
CDS_2492	219
CDS_2494	294
CDS_2495	1683
CDS_2497	225
CDS_2498	885
CDS_2501	462
CDS_2504	465
CDS_2505	222
CDS_2506	111
CDS_2510	210
CDS_2511	363
CDS_2512	213
CDS_2522	225
CDS_2535	252
CDS_2536	408
CDS_2539	360
CDS_2541	378
CDS_2544	444
CDS_2545	240
CDS_2546	261
CDS_2547	1542
CDS_2548	534
CDS_2552	750
CDS_2554	798
CDS_2555	189
CDS_2556	651
CDS_2562	174
CDS_2563	330
CDS_2565	594
CDS_2568	876
CDS_2569	624
CDS_2571	981
CDS_2574	408
CDS_2575	270
CDS_2576	447
CDS_2579	618
CDS_2580	1320
CDS_2582	453
CDS_2586	516
CDS_2587	1566
CDS_2589	300
CDS_2590	219
CDS_2592	735
CDS_2593	951
CDS_2594	537
CDS_2598	537
CDS_2600	327
CDS_2601	351
CDS_2602	471
CDS_2608	201
CDS_2609	378
CDS_2612	309
CDS_2614	651
CDS_2620	576
CDS_2621	204
CDS_2625	795
CDS_2628	423
CDS_2632	282
CDS_2634	585
CDS_2636	225
CDS_2640	243
CDS_2641	171
CDS_2642	627
CDS_2644	276
CDS_2647	258
CDS_2648	1011
CDS_2655	1116
CDS_2658	234
CDS_2661	315
CDS_2665	258
CDS_2666	177
CDS_2667	384
CDS_2674	402
CDS_2676	225
CDS_2678	714
CDS_2680	213
CDS_2682	306
CDS_2687	258
CDS_2690	276
CDS_2692	642
CDS_2693	240
CDS_2694	321
CDS_2709	270
CDS_2711	327
CDS_2712	264
CDS_2714	228
CDS_2715	363
CDS_2719	462
CDS_2722	270
CDS_2723	204
CDS_2724	297
CDS_2725	216
CDS_2726	204
CDS_2727	204
CDS_2728	201
CDS_2732	204
CDS_2733	198
CDS_2739	225
CDS_2750	438
CDS_2751	222
CDS_2754	198
CDS_2755	228
CDS_2756	339
CDS_2759	555
CDS_2764	270
CDS_2771	303
CDS_2772	345
CDS_2777	216
CDS_2780	249
CDS_2787	234
CDS_2794	330
CDS_2795	279
CDS_2796	228
CDS_2797	312
CDS_2801	543
CDS_2803	228
CDS_2808	213
CDS_2809	279
CDS_2810	408
CDS_2816	222
CDS_2817	123
CDS_2818	405
CDS_2819	321
CDS_2823	468
CDS_2824	204
CDS_2825	390
CDS_2826	219
CDS_2828	342
CDS_2829	303
CDS_2833	237
CDS_2834	438
CDS_2835	171
CDS_2836	96
CDS_2840	219
CDS_2841	246
CDS_2842	156
CDS_2845	441
CDS_2848	204
CDS_2855	309
CDS_2856	246
CDS_2866	459
CDS_2870	258
CDS_2872	225
CDS_2875	240
CDS_2876	357
CDS_2877	369
CDS_2881	219
CDS_2889	267
CDS_2890	420
CDS_2892	225
CDS_2894	279
CDS_2900	261
CDS_2902	846
CDS_2905	321
CDS_2907	336
CDS_2911	288
CDS_2912	147
CDS_2915	504
CDS_2918	294
CDS_2919	282
CDS_2921	459
CDS_2924	207
CDS_2926	282
CDS_2934	288
CDS_2944	366
CDS_2946	441
CDS_2950	537
CDS_2954	312
CDS_2955	231
CDS_2958	531
CDS_2965	291
CDS_2966	330
CDS_2970	219
CDS_2974	333
CDS_2976	405
CDS_2977	429
CDS_2981	468
CDS_2982	324
CDS_2993	276
CDS_2994	321
CDS_2996	255
CDS_2998	216
CDS_2999	246
CDS_3005	213
CDS_3008	261
CDS_3009	756
CDS_3017	705
CDS_3019	969
CDS_3020	861
CDS_3024	399
CDS_3033	675
CDS_3037	354
CDS_3044	243
CDS_3045	111
CDS_3051	720
CDS_3055	189
CDS_3057	696
CDS_3061	441
CDS_3068	219
CDS_3070	678
CDS_3071	306
CDS_3076	444
CDS_3077	1923
CDS_3079	873
CDS_3085	792
CDS_3094	585
CDS_3099	1143
CDS_3100	579
CDS_3101	1470
CDS_3102	603
CDS_3106	4443
CDS_3107	2679
CDS_3108	171
CDS_3110	759
CDS_3111	732
CDS_3113	444
CDS_3114	225
CDS_3115	582
CDS_3116	246
CDS_3117	243
CDS_3118	1077
CDS_3119	867
CDS_3120	621
CDS_3121	390
CDS_3122	357
CDS_3124	777
CDS_3125	477
CDS_3126	363
CDS_3127	1287
CDS_3129	1311
CDS_3130	552
CDS_3131	588
CDS_3132	561
CDS_3133	378
CDS_3134	324
CDS_3135	381
CDS_3136	1377
CDS_3137	114
CDS_3138	429
CDS_3139	201
CDS_3140	567
CDS_3141	156
CDS_3142	1821
CDS_3143	378
CDS_3144	2835
CDS_3145	1383
CDS_3146	171
CDS_3147	744
CDS_3148	420
CDS_3149	192
CDS_3150	624
CDS_3151	417
CDS_3152	450
CDS_3153	486
CDS_3154	408
CDS_3155	396
CDS_3156	303
CDS_3157	357
CDS_3158	348
CDS_3159	924
CDS_3160	813
CDS_3161	108
CDS_3162	645
CDS_3164	162
CDS_3165	990
CDS_3166	465
CDS_3167	390
CDS_3168	657
CDS_3169	2103
CDS_3172	366
CDS_3174	441
CDS_3175	219
CDS_3176	444
CDS_3177	387
CDS_3178	321
CDS_3179	1173
CDS_3180	465
CDS_3181	246
CDS_3185	300
CDS_3186	2022
CDS_3187	447
CDS_3188	417
CDS_3189	1365
CDS_3192	1329
CDS_3193	75
CDS_3194	552
CDS_3199	783
CDS_3200	2757
CDS_3201	2724
CDS_3203	990
CDS_3207	1248
CDS_3208	675
CDS_3209	219
CDS_3210	168
CDS_3211	837
CDS_3212	1431
CDS_3213	99
CDS_3214	720
CDS_3215	1020
CDS_3216	450
CDS_3228	372
CDS_3229	390
CDS_3230	888
CDS_3231	309
CDS_3232	231
CDS_3233	177
CDS_3235	252
CDS_3236	972
CDS_3237	168
CDS_3238	2406
CDS_3242	1065
CDS_3243	540
CDS_3244	729
CDS_3245	351
CDS_3246	489
CDS_3247	531
CDS_3248	456
CDS_3249	300
CDS_3250	654
CDS_3251	456
CDS_3252	498
CDS_3253	441
CDS_3254	1077
CDS_3255	1188
CDS_3256	1656
CDS_3257	276
CDS_3258	150
CDS_3259	2343
CDS_3260	378
CDS_3261	852
CDS_3262	1371
CDS_3263	651
CDS_3264	576
CDS_3265	258
CDS_3266	171
CDS_3268	192
CDS_3269	201
CDS_3277	870
CDS_3278	168
CDS_3279	372
CDS_3280	240
CDS_3281	321
CDS_3282	501
CDS_3283	828
CDS_3284	2205
CDS_3290	249
CDS_3291	420
CDS_3292	138
CDS_3295	369
CDS_3296	1803
CDS_3297	375
CDS_3298	495
CDS_3299	225
CDS_3300	1623
CDS_3301	150
CDS_3302	1596
CDS_3303	966
CDS_3304	1989
CDS_3307	1194
CDS_3308	420
CDS_3309	261
CDS_3310	555
CDS_3311	162
CDS_3312	996
CDS_3319	1506
CDS_3320	951
CDS_3321	468
CDS_3322	522
CDS_3323	543
CDS_3324	1050
CDS_3325	1314
CDS_3326	183
CDS_3327	255
CDS_3328	420
CDS_3330	2100
CDS_3331	1275
CDS_3332	2319
CDS_3333	1353
CDS_3334	702
CDS_3335	2268
CDS_3336	882
CDS_3337	414
CDS_3338	1356
CDS_3339	2409
CDS_3340	2817
CDS_3341	4551
CDS_3342	312
CDS_3343	942
CDS_3344	1329
CDS_3345	282
CDS_3347	609
CDS_3348	363
CDS_3349	639
CDS_3350	306
CDS_3351	1329
CDS_3352	144
CDS_3353	486
CDS_3354	963
CDS_3355	75
CDS_3356	243
CDS_3357	591
CDS_3358	1137
CDS_3359	1131
CDS_3360	90
CDS_3361	1455
CDS_3365	576
CDS_3366	1314
CDS_3367	612
CDS_3368	945
CDS_3369	4020
CDS_3371	1194
CDS_3372	969
CDS_3373	348
CDS_3376	819
CDS_3377	1530
CDS_3378	435
CDS_3381	471
CDS_3382	5139
CDS_3383	804
CDS_3384	990
CDS_3385	261
CDS_3386	1029
CDS_3387	381
CDS_3388	228
CDS_3390	819
CDS_3391	873
CDS_3392	474
CDS_3396	816
CDS_3397	1950
CDS_3398	891
CDS_3399	1914
CDS_3400	981
CDS_3401	1482
CDS_3402	258
CDS_3403	522
CDS_3404	933
CDS_3405	342
CDS_3406	174
CDS_3408	402
CDS_3409	639
CDS_3410	303
CDS_3412	420
CDS_3413	672
CDS_3414	600
CDS_3415	1305
CDS_3416	372
CDS_3418	414
CDS_3419	369
CDS_3420	747
CDS_3429	555
CDS_3430	471
CDS_3431	117
CDS_3432	501
CDS_3433	348
CDS_3434	1269
CDS_3435	720
CDS_3436	294
CDS_3438	222
CDS_3439	1512
CDS_3440	663
CDS_3443	261
CDS_3444	924
CDS_3445	912
CDS_3447	426
CDS_3449	267
CDS_3452	273
CDS_3453	405
CDS_3457	672
CDS_3463	897
CDS_3464	321
CDS_3470	258
CDS_3472	363
CDS_3473	240
CDS_3482	429
CDS_3483	132
CDS_3488	939
CDS_3489	420
CDS_3490	309
CDS_3492	225
CDS_3508	768
CDS_3509	249
CDS_3510	129
CDS_3513	513
CDS_3517	348
CDS_3518	198
CDS_3521	225
CDS_3522	315
CDS_3534	312
CDS_3535	231
CDS_3536	219
CDS_3539	864
CDS_3540	258
CDS_3541	237
CDS_3542	429
CDS_3543	255
CDS_3544	360
CDS_3546	216
CDS_3547	675
CDS_3548	255
CDS_3552	933
CDS_3555	198
CDS_3557	240
CDS_3561	564
CDS_3564	312
CDS_3565	600
CDS_3567	327
CDS_3568	339
CDS_3572	942
CDS_3573	267
CDS_3574	270
CDS_3575	414
CDS_3576	489
CDS_3577	888
CDS_3589	282
CDS_3590	189
CDS_3591	318
CDS_3595	264
CDS_3602	447
CDS_3606	336
CDS_3608	201
CDS_3609	609
CDS_3610	309
CDS_3612	870
CDS_3617	255
CDS_3621	444
CDS_3626	477
CDS_3627	363
CDS_3630	474
CDS_3632	921
CDS_3637	198
CDS_3644	516
CDS_3649	576
CDS_3650	384
CDS_3651	207
CDS_3652	714
CDS_3655	858
CDS_3656	453
CDS_3659	999
CDS_3661	483
CDS_3662	231
CDS_3665	168
CDS_3666	132
CDS_3670	198
CDS_3674	297
CDS_3678	288
CDS_3688	456
CDS_3694	480
CDS_3699	309
CDS_3700	315
CDS_3713	339
CDS_3716	198
CDS_3718	750
CDS_3719	453
CDS_3721	273
CDS_3724	315
CDS_3725	366
CDS_3726	714
CDS_3727	279
CDS_3728	903
CDS_3733	177
CDS_3734	270
CDS_3736	258
CDS_3737	435
CDS_3742	246
CDS_3752	273
CDS_3753	222
CDS_3754	297
CDS_3757	210
CDS_3761	249
CDS_3762	372
CDS_3764	258
CDS_3765	201
CDS_3767	261
CDS_3769	210
CDS_3777	255
CDS_3778	294
CDS_3781	378
CDS_3782	294
CDS_3784	234
CDS_3786	258
CDS_3787	294
CDS_3789	198
CDS_3795	246
CDS_3804	348
CDS_3806	222
CDS_3808	321
CDS_3809	207
CDS_3810	246
CDS_3814	345
CDS_3815	261
CDS_3816	210
CDS_3817	294
CDS_3819	300
CDS_3823	261
CDS_3824	240
CDS_3825	108
CDS_3827	222
CDS_3830	279
CDS_3835	417
CDS_3836	297
CDS_3841	99
CDS_3842	561
CDS_3844	294
CDS_3848	327
CDS_3849	687
CDS_3851	243
CDS_3852	108
CDS_3853	246
CDS_3854	453
CDS_3857	129
CDS_3860	441
CDS_3862	597
CDS_3870	282
CDS_3873	294
CDS_3874	117
CDS_3876	297
CDS_3877	309
CDS_3879	396
CDS_3880	432
CDS_3881	1386
CDS_3882	1191
CDS_3883	420
CDS_3890	411
CDS_3891	216
CDS_3893	630
CDS_3902	591
CDS_3905	270
CDS_3910	240
CDS_3915	228
CDS_3916	324
CDS_3918	789
CDS_3919	378
CDS_3920	615
CDS_3921	789
CDS_3922	231
CDS_3924	264
CDS_3927	279
CDS_3928	306
CDS_3931	312
CDS_3934	231
CDS_3935	276
CDS_3939	348
CDS_3941	903
CDS_3942	756
CDS_3944	492
CDS_3945	495
CDS_3947	816
CDS_3948	735
CDS_3951	399
CDS_3952	351
CDS_3954	408
CDS_3956	492
CDS_3958	246
CDS_3965	489
CDS_3975	993
CDS_3979	468
CDS_3988	78
CDS_3989	177
CDS_3991	99
CDS_3992	279
CDS_3993	516
CDS_3995	198
CDS_4005	561
CDS_4006	300
CDS_4009	525
CDS_4012	633
CDS_4016	546
CDS_4019	408
CDS_4020	645
CDS_4023	393
